TimeStamp,head_x,head_y,head_z,head_pitch,head_yaw,head_roll,left_c_x,left_c_y,left_c_z,left_c_pitch,left_c_yaw,left_c_roll,right_c_x,right_c_y,right_c_z,right_c_pitch,right_c_yaw,right_c_roll

02/20/2020 11:27:19,12452.22,152.4261,-2342.605,7.842241,310.575,359.4775,12451.96,151.9548,-2342.483,5.752554,314.4974,93.41692,12452.07,151.9597,-2342.38,3.452328,305.9053,270.0569
02/20/2020 11:27:19,12452.22,153.008,-2342.605,7.923222,310.4451,359.5081,12451.96,151.9548,-2342.483,5.752554,314.4974,93.41692,12452.07,151.9597,-2342.38,3.452328,305.9053,270.0569
02/20/2020 11:27:19,12452.22,152.9333,-2342.605,7.928323,310.4244,359.5247,12451.96,152.5371,-2342.483,5.891748,314.4291,93.47478,12452.07,152.5421,-2342.38,3.468249,305.8043,270.1722
02/20/2020 11:27:19,12452.22,152.9332,-2342.605,7.972753,310.3962,359.5196,12451.96,152.4624,-2342.483,5.885818,314.4222,93.45426,12452.07,152.4673,-2342.38,3.473876,305.7785,270.2423
02/20/2020 11:27:19,12452.22,152.9332,-2342.605,8.021025,310.3607,359.513,12451.96,152.4624,-2342.483,5.884487,314.4176,93.45271,12452.07,152.4674,-2342.38,3.475643,305.7812,270.2492
02/20/2020 11:27:19,12452.22,152.9333,-2342.604,8.008469,310.3567,359.5266,12451.96,152.4624,-2342.483,5.882787,314.4149,93.4534,12452.07,152.4674,-2342.38,3.47534,305.7758,270.2668
02/20/2020 11:27:19,12452.22,152.9333,-2342.604,7.999453,310.343,359.5496,12451.96,152.4624,-2342.482,5.885777,314.414,93.45655,12452.07,152.4675,-2342.38,3.474899,305.7723,270.2818
02/20/2020 11:27:19,12452.22,152.9332,-2342.604,7.985851,310.3386,359.5583,12451.96,152.4624,-2342.483,5.89014,314.4104,93.4543,12452.07,152.4674,-2342.38,3.474159,305.7708,270.2949
02/20/2020 11:27:19,12452.22,152.9332,-2342.605,7.967823,310.3294,359.5457,12451.96,152.4623,-2342.482,5.902611,314.4028,93.44913,12452.07,152.4675,-2342.38,3.472162,305.7807,270.2939
02/20/2020 11:27:19,12452.21,152.9332,-2342.605,7.975585,310.323,359.5349,12451.96,152.4623,-2342.483,5.916531,314.4032,93.45519,12452.07,152.4675,-2342.38,3.47523,305.7905,270.2505
02/20/2020 11:27:19,12452.22,152.9332,-2342.604,7.97809,310.3023,359.5634,12451.96,152.4623,-2342.482,5.92957,314.4066,93.47546,12452.07,152.4675,-2342.38,3.496556,305.801,270.1901
02/20/2020 11:27:19,12452.22,152.9332,-2342.605,7.991631,310.2763,359.5949,12451.96,152.4623,-2342.482,5.938291,314.3995,93.5026,12452.07,152.4675,-2342.38,3.513869,305.8051,270.1695
